year,log_coef,index
2004,0.0,1.0
2005,0.19825844893481498,1.2192774740682286
2006,0.27612993114285755,1.3180191046308916
2007,0.4062328742092356,1.5011520913633607
2008,0.37587997397022976,1.4562723326945988
2009,0.2832122327221289,1.3273868468485341
2010,0.12091807850836178,1.1285324575180942
2011,0.13496335382975244,1.1444948422299743
2012,0.2249935698825395,1.2523146636355902
2013,0.275372479202181,1.317021146502614
2014,0.4129742463789099,1.5113061038280542
2015,0.5308954286685903,1.7004542626126102
2016,0.6036011445161555,1.82869234255003
2017,0.7294251227261717,2.073888033816057
2018,0.6792028734671506,1.9723049288624153
2019,0.5354532087259763,1.7082222480766023
2020,0.5446892924510264,1.7240726167705271
2021,0.5672613791660703,1.7634310634379762
2022,0.393619056904313,1.482335755532999
2023,0.49584861393979873,1.6418909795968601
2024,0.49646921146480205,1.6429102493205434
2025,0.5026163658052232,1.653040576633368
